id,source,zh,kind,category,variants,forbidden,context,note,authority,status
0d32843c,プランナーズセクション,策划部门,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
0dd5e6f4,ショック,震惊,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，31 次,,本项目,agreed
0ded8c45,タイムライン,时间线,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，17 次,,本项目,agreed
0e619490,バースト,爆炸,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，5 次,,本项目,agreed
0e9a2e49,チェック,检查,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，29 次,,本项目,agreed
0ece1be9,イメージ,意象,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，111 次,,本项目,agreed
0f74b8e9,プロポーズ,求婚,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，27 次,,本项目,agreed
0fb51c04,ポーラーズメモリー,北极星记忆,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，65 次,,本项目,agreed
10014a4d,キャラ,角色,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，17 次,,本项目,agreed
1038b04f,お守りのくまさん,护身小熊,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
1039524f,マーケティング,营销,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
1087a3cd,ムービー,影像,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，30 次,,本项目,agreed
10b5e374,シェルノサージュ・ゲームパート,Ciel nosurge游戏部分,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
10e5c39a,ミキシングスタジオ,混音工作室,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，12 次,,本项目,agreed
10f3e14d,ロボット,机器人,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，43 次,,本项目,agreed
11036680,パッケージイラスト,包装插画,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
1135db83,イチゴ,草莓,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，14 次,,本项目,agreed
12120ab6,コイツ,这家伙,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，15 次,,本项目,agreed
128fbddf,アラウンドフレイム,环绕烈焰,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，21 次,,本项目,agreed
12bc92db,ネットワーク,网络,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，20 次,,本项目,agreed
137a578b,アタシ,我,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，36 次,,本项目,agreed
143b615a,バスタオル,浴巾,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，26 次,,本项目,agreed
1448956b,リコーダー,竖笛,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，16 次,,本项目,agreed
1575a2ee,レシピ,配方,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，438 次,,本项目,agreed
16251590,セントラルユニット,中央单元,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，2 次,,本项目,agreed
16acc50b,メロン,甜瓜,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，28 次,,本项目,agreed
184be622,カソード,阴极,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，106 次,,本项目,agreed
1923ef82,サンタ,圣诞老人,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，23 次,,本项目,agreed
195eefb0,ジェノム恐慌,杰诺姆恐慌,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
19ce8b2a,シエスタサンダル,午睡凉鞋,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，15 次,,本项目,agreed
1a113fda,ハラハラドリンク,捏汗饮料,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，16 次,,本项目,agreed
1a4bee95,用語４１,词条４１,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
1bf1ff04,オリジナル,原创,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，15 次,,本项目,agreed
1d503d62,ヴェルグリス,铜绿,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，12 次,,本项目,agreed
1dacfa28,グッズ,周边商品,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，18 次,,本项目,agreed
1dec9772,ホラー,恐怖,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，17 次,,本项目,agreed
1e20dd67,モデル,模型,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，50 次,,本项目,agreed
1e752f79,オカッパ,齐耳短发,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，14 次,,本项目,agreed
1eaaa08b,デザート,甜点,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，33 次,,本项目,agreed
1f572d18,クーデターの日,政变之日,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
1f8b0ef7,テクニカルエンジニア,技术工程师,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，26 次,,本项目,agreed
1fa90446,エレキギター,电吉他,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，15 次,,本项目,agreed
1fcf727b,フォーシーズン,四季,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，5 次,,本项目,agreed
2023aa88,無尽蔵にシャールを生み出せる訳もない,夏尔也不可能无休止地制造出来,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
20851443,フニフニ,软乎乎,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，18 次,,本项目,agreed
20dc2743,コントロール,控制,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，16 次,,本项目,agreed
20dce76a,チーム・ティルドーン,Team TillDawn,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
2129038b,アドバイス,建议,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
22572ad4,用語５,词条５,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
23195315,同調可能精神レベル,可同调精神等级,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
23e6ccd6,用語３９,词条３９,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
246a7408,セカイリンク,世界链接,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，25 次,,本项目,agreed
25984392,コンポーザー,作曲家,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，26 次,,本项目,agreed
2620652a,・シャール,・夏尔,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，18 次,,本项目,agreed
26604a61,マスターレジストラ,主注册官,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，14 次,,本项目,agreed
269b0f92,キャンセル,取消,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，16 次,,本项目,agreed
26d10aad,プログラムサポート,程序支援,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
270327b0,用語２７,词条２７,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
27860d7d,用語８,词条８,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
28184de3,アクアドーム,水穹顶,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，18 次,,本项目,agreed
28640577,マグネムメタル,磁能金属,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，15 次,,本项目,agreed
28f69b57,パーク,公园,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，16 次,,本项目,agreed
29ebd916,フラスク流体,烧瓶流体,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
2a3b1d63,縷縷,缕缕,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
2a4ddd87,シロップ,糖浆,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
2a865a63,メイン,主要,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，19 次,,本项目,agreed
2c430ae3,用語３,词条３,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
2c78ab4d,用語２２,词条２２,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
2d63b3b2,地文調停官,地文调停官,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
2d6530e9,レコーディング,录音,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，37 次,,本项目,agreed
2d7da8fe,軌道エレベイタ,轨道升降机,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
2d9c1a16,キャラクターセットアップ,角色装配,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，26 次,,本项目,agreed
2dd5ca6b,サービス,服务,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，34 次,,本项目,agreed
2de362e0,用語１５,词条１５,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
2e6a7a61,アウトゴット,奥特戈德,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，19 次,,本项目,agreed
2e7e9248,ハーモニウム,簧风琴,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，12 次,,本项目,agreed
2ec7f8ee,パーツ,零件,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，297 次,,本项目,agreed
2fa6e1dc,リーダー,队长,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，15 次,,本项目,agreed
3081d773,ゲーム,游戏,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，51 次,,本项目,agreed
30aa1daa,アンタ,你,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，82 次,,本项目,agreed
31c02c9b,コード,代码,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，42 次,,本项目,agreed
31e8ba49,トントン,咚咚,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，123 次,,本项目,agreed
32aeb81a,ファーストハーモニクス,第一谐波,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，7 次,,本项目,agreed
32b81ce8,フツー,普通,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，12 次,,本项目,agreed
32c454c2,チーズ,奶酪,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，21 次,,本项目,agreed
32ed60ff,メール,邮件,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，96 次,,本项目,agreed
33ad36b6,シェルノトロン医療,榭鲁诺特伦医疗,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
34a849dc,・キャスティング,・选角,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
34ac32a9,キャラクターデザイン,角色设计,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，26 次,,本项目,agreed
34b5f541,グラタン,芝士烤菜,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，17 次,,本项目,agreed
34db9902,ステリエルクラス,斯特利埃尔级,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，12 次,,本项目,agreed
3519daf2,エスコート,护送,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，21 次,,本项目,agreed
3549da88,チケット,门票,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，17 次,,本项目,agreed
35c529ba,メテオライズ,流星化,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，39 次,,本项目,agreed
36724bec,タップ,点击,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，59 次,,本项目,agreed
36759ebf,ソース,酱汁,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，15 次,,本项目,agreed
367f35a3,プラネタリー・メゾン,行星公馆,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，6 次,,本项目,agreed
36b8b58e,アルメティカ営業情報共有者連盟,阿尔梅堤嘉营业信息共享者联盟,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
36cbc6b9,ゴールデンウィーク,黄金周,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，15 次,,本项目,agreed
375c0663,プロモーションムービー,宣传影像,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
3774ce3f,フロストメタル,霜冻金属,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
382a7548,ステージ,舞台,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，70 次,,本项目,agreed
38967eaa,デザイン・モデリング・アニメーション,设计・建模・动画,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
38a9e14e,断界,断界,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
38c2604e,オルゴール,八音盒,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，21 次,,本项目,agreed
3b559e6d,タッチ,触摸,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，41 次,,本项目,agreed
3b8cc004,プリン,布丁,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，16 次,,本项目,agreed
3c468e13,オイル,油,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，35 次,,本项目,agreed
3cc00fae,高感度シェルノトロン,高灵敏度榭鲁诺特伦,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
3d7213b7,ワイヤレスシップ,无线导船,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
3d8d54d9,ガラガラ,空空荡荡,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，16 次,,本项目,agreed
3db5c9dd,マスタード,芥末,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，12 次,,本项目,agreed
3e4ec286,クオリア,感质,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
3e8952d2,用語２０,词条２０,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
3ec1136d,スタッフ,员工,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，27 次,,本项目,agreed
3f174a20,『詩姫』,‘诗姬’,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
3f5eb4ed,用語２１,词条２１,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
3fc53d51,タイプ,类型,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，41 次,,本项目,agreed
40255895,用語２,词条２,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
40f5527d,フブキ,吹雪,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
416e2f78,空の亀裂,天空裂缝,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
41a632ef,コメント,评语,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，22 次,,本项目,agreed
420248b6,アイリッシュブズーキ,爱尔兰布祖基琴,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，15 次,,本项目,agreed
4213,「レオン-4213」,“雷昂-4213”,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
425e8ee4,ジリリウム,吉利利姆,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，37 次,,本项目,agreed
42609cf3,メゾンホール,公馆大厅,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
42f693f8,電離傘,电离伞,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
436c45c7,用語３８,词条３８,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
43aae09e,皇帝契絆支,皇帝契绊支,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
43ce8878,用語１４,词条１４,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
449c69d7,サポート,支援,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，15 次,,本项目,agreed
44c735ef,プログラマーズセクション,程序员部门,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，26 次,,本项目,agreed
4561c17e,テーマ,主题,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，20 次,,本项目,agreed
456285fd,キャスティング,选角,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
45c20cb5,イベントプログラム,事件程序,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
46967d18,用語２８,词条２８,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
47b4753f,タイトル,标题,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，32 次,,本项目,agreed
481e8b26,太陽ベゼル,太阳贝捷尔,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
483746c2,旧ジェノミライ研究所,旧杰诺米莱伊研究所,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
48a0c9f6,ネプトリュード,尼普特律德,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，21 次,,本项目,agreed
4974c64f,エクストリーム,极限,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，26 次,,本项目,agreed
49b7386b,コマンド,指令,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，16 次,,本项目,agreed
49e19aab,アトラクション,游乐设施,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，22 次,,本项目,agreed
4a899295,トロン,特伦,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，177 次,,本项目,agreed
4a9646d5,メインアニメーター,主动画师,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
4b9cc209,ポイント・ピクチャーズ,Point Pictures,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，26 次,,本项目,agreed
4bd47c8c,用語２４,词条２４,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
4c0c4a4c,パワー,力量,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，16 次,,本项目,agreed
4c56163e,ビックリ,吃惊,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，162 次,,本项目,agreed
4e455731,用語１９,词条１９,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
4e67a84c,ネットワークセクション,网络部门,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
4eb05fc5,配導盤,配导盘,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
4ec447bf,デザイナーズセクション,设计师部门,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，26 次,,本项目,agreed
4f48dbef,メディア,媒体,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，12 次,,本项目,agreed
4f4cae15,声帯域の限界,声带音域的极限,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
4f70eee7,セット,套装,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，59 次,,本项目,agreed
4fc73485,小鳥が多い,有很多小鸟,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
50445a10,次世代シェルノトロンサーバー,次世代榭鲁诺特伦服务器,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
50462d5f,カテゴリ,类别,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，16 次,,本项目,agreed
5176fe43,ハッキング,黑客入侵,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，16 次,,本项目,agreed
51c6ed0e,パートナー,搭档,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，26 次,,本项目,agreed
52edcb82,モーション,动作,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
5307be4b,トップ,顶级,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
5408c1de,マップ,地图,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，18 次,,本项目,agreed
541a2f62,ゴメン,抱歉,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，14 次,,本项目,agreed
54bb2f30,ロマンチック,浪漫,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，15 次,,本项目,agreed
54f1c40f,ドキッ,心中一惊,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，22 次,,本项目,agreed
554fc1b9,ロジスティックス,后勤,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，26 次,,本项目,agreed
56229655,スープ,汤,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，42 次,,本项目,agreed
56301c76,アクセサリー,饰品,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，22 次,,本项目,agreed
567e4b28,ジェノミリンク,杰诺米链接,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，27 次,,本项目,agreed
575cf085,プロデューサー,制作人,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，26 次,,本项目,agreed
578325b5,エネルギー,能量,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，307 次,,本项目,agreed
579e7493,チューブ・カンパニー,管体公司,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，6 次,,本项目,agreed
588511ff,四季祭,四季祭,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
58cccee1,カンパニー,公司,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
58dd9da2,ショート,短款,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，20 次,,本项目,agreed
5969d068,ドキドキ,心跳不已,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，340 次,,本项目,agreed
59e86306,タップリ,充分,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，12 次,,本项目,agreed
5a0e6fd5,ロザリオ,念珠,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，19 次,,本项目,agreed
5a5da8bd,用語３１,词条３１,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
5a5f08df,プレゼント,礼物,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，33 次,,本项目,agreed
5a63c5e0,イオナサルさまフィギュア,依欧娜萨鲁大人手办,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
5b7b361b,タワー,高塔,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
5cc59ce1,グルメイト,美食伴侣,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，31 次,,本项目,agreed
5cd301b8,ワールドイラスト,世界插画,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
5da1515b,インストール,安装,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，20 次,,本项目,agreed
5e38e342,エグゼクティブプロデューサー,执行制作人,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
5ecc5c4a,ゼリー,果冻,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，17 次,,本项目,agreed
5edf42a9,シェルノトロンサーバー,榭鲁诺特伦服务器,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，3 次,,本项目,agreed
5f54b4a4,ノエリア,诺艾莉亚,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，12 次,,本项目,agreed
5f8e507f,ダイエット,节食,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，22 次,,本项目,agreed
607de350,メンテナンス,维护,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，16 次,,本项目,agreed
60bc6aa2,ディライトレンズ,悦目镜片,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
60e45b9f,用語１６,词条１６,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
61bb2a27,ヒューズ,保险丝,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
61f92a39,ミキサー,调音师,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，13 次,,本项目,agreed
6245f96f,キャラクターアニメーション,角色动画,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，61 次,,本项目,agreed
62ac4419,用語２９,词条２９,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
62cf90b1,Ｈ波,H波,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，1 次,,本项目,agreed
6333fc99,宮城,皇宫,glossary-marker,in-text-marker,,,游戏用 {} 标出的术语，5 次,,本项目,agreed
634796a7,カノイール,卡诺伊尔,proper-noun,in-text-marker,,卡诺依尔,游戏用 {} 标出的术语，241 次,,本项目,agreed
63b560db,テスト,测试,proper-noun,in-text-marker,,,游戏用 {} 标出的术语，30 次,,本项目,agreed
