id,jp,zh,status,kind,src,ctl,occurrences,note
91019,ジェノメトリクス,梦世界,translated,glossary-marker,472bff30ce,br=0 nl=0,6,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91020,プラネタリー・メゾン,行星公馆,translated,glossary-marker,367f35a37f,br=0 nl=0,6,
91021,チューブ・カンパニー,管体公司,translated,glossary-marker,579e749364,br=0 nl=0,6,
91022,G2トロン,G2特伦,translated,glossary-marker,93ef19aafc,br=0 nl=0,6,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91023,俯瞰視点,俯瞰视点,translated,glossary-marker,155f990450,br=0 nl=0,6,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91024,宮城,皇宫,translated,glossary-marker,6333fc99d7,br=0 nl=0,5,
91025,クオンタイズ,库翁泰兹,translated,glossary-marker,91873c6172,br=0 nl=0,5,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91026,フォーシーズン,四季,translated,glossary-marker,1fcf727b8d,br=0 nl=0,5,
91027,アルメティカ,阿尔梅堤嘉,translated,glossary-marker,0a2ae4f1ba,br=0 nl=0,5,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91028,バースト,爆炸,translated,glossary-marker,0e619490c8,br=0 nl=0,5,
91029,断線,断线,translated,glossary-marker,c876f34d2b,br=0 nl=0,4,
91030,TxBIOS,TxBIOS,translated,glossary-marker,8b99dd0fc8,br=0 nl=0,4,
91031,ネプトロン,尼普特伦,translated,glossary-marker,3a0e08fc17,br=0 nl=0,4,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91032,ジェノミライ,杰诺米莱伊,translated,glossary-marker,8f4f5c8571,br=0 nl=0,4,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91033,ソレイル,太阳号,translated,glossary-marker,b4c6270453,br=0 nl=0,4,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91034,ヒトガタ,人形,translated,glossary-marker,a1f21e7fbe,br=0 nl=0,4,
91035,アストロサイト・モジュラトリ・ウィルス,星形胶质细胞调节病毒,translated,glossary-marker,670ed6b418,br=0 nl=0,4,
91036,シャール,夏尔,translated,glossary-marker,aba0da7de3,br=0 nl=0,4,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91037,皇女の衣,皇女之衣,translated,glossary-marker,09e83387dd,br=0 nl=0,3,
91038,シェルノトロン・パニック,榭鲁诺特伦恐慌,translated,glossary-marker,b97989f713,br=0 nl=0,3,
91039,縦貫坑道,纵贯坑道,translated,glossary-marker,c6d957daa1,br=0 nl=0,3,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91040,救星イオン応援団,救星依恩应援团,translated,glossary-marker,ccefcb2c77,br=0 nl=0,3,
91041,ぱれす・にゅろきーる,喵洛基鲁・王宫,translated,glossary-marker,48b32303bf,br=0 nl=0,3,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91042,シェルノトロンサーバー,榭鲁诺特伦服务器,translated,glossary-marker,5edf42a919,br=0 nl=0,3,
91043,セーブベゼル,存档贝捷尔,translated,glossary-marker,7ae060e9ac,br=0 nl=0,3,
91044,SHSヘテロマイシン,SHS杂霉素,translated,glossary-marker,6d9e15f977,br=0 nl=0,3,
91045,Tz波,Tz波,translated,glossary-marker,d4efe10cce,br=0 nl=0,2,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91046,波動科学,波动科学,translated,glossary-marker,79725f10f7,br=0 nl=0,2,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91047,ラシェーラ・スターライト,拉榭拉星光,translated,glossary-marker,65d9f0fb6f,br=0 nl=0,2,
91048,コロン・フォーシーズン,克隆四季,translated,glossary-marker,b7d8395551,br=0 nl=0,2,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91049,インターディメンド,跨维度,translated,glossary-marker,ebf2f69667,br=0 nl=0,2,
91050,アルノサージュ管,Ar nosurge管,translated,glossary-marker,ff24310d2a,br=0 nl=0,2,
91051,gRNAウィルスβ,gRNA病毒β,translated,glossary-marker,b3b62739dd,br=0 nl=0,2,
91052,セントラルユニット,中央单元,translated,glossary-marker,162515906f,br=0 nl=0,2,
91053,力場,力场,translated,glossary-marker,7f83e7ef5a,br=0 nl=0,2,
91054,テンプルナイト,圣殿骑士,translated,glossary-marker,788079ab0f,br=0 nl=0,2,
91055,パークパスニュロン,主题乐园护照纽伦,translated,glossary-marker,115fd6b027,br=0 nl=0,2,官方译名(光荣特库摩台湾)
91056,ウェーブバースト,波动爆炸,translated,glossary-marker,4f85667d13,br=0 nl=0,1,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91057,縷縷,缕缕,translated,glossary-marker,2a3b1d63dd,br=0 nl=0,1,
91058,アタシが昔着てた服,我以前穿过的衣服,translated,glossary-marker,8b894094a9,br=0 nl=0,1,
91059,対波動シェル,对波动外壳,translated,glossary-marker,c9324d5224,br=0 nl=0,1,
91060,声帯域の限界,声带音域的极限,translated,glossary-marker,4f4cae15f2,br=0 nl=0,1,
91061,天文へ登録手続き,天文的登记手续,translated,glossary-marker,03e66c5402,br=0 nl=0,1,
91062,天香区,天香区,translated,glossary-marker,f8a416a056,br=0 nl=0,1,
91063,断界,断界,translated,glossary-marker,38a9e14e64,br=0 nl=0,1,
91064,軌道エレベイタ,轨道升降机,translated,glossary-marker,2d7da8fe26,br=0 nl=0,1,
91065,マテリアルパレット,素材面板,translated,glossary-marker,787ee533b7,br=0 nl=0,1,
91066,シェルノトロンを貸してくれ,借我榭鲁诺特伦吧,translated,glossary-marker,e65583cb3d,br=0 nl=0,1,
91067,ワイヤーシップ,线导船,translated,glossary-marker,052289a384,br=0 nl=0,1,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91068,用語１,词条１,translated,glossary-marker,e213dd6a5c,br=0 nl=0,1,
91069,用語２,词条２,translated,glossary-marker,4025589570,br=0 nl=0,1,
91070,用語３,词条３,translated,glossary-marker,2c430ae3a5,br=0 nl=0,1,
91071,用語４,词条４,translated,glossary-marker,e10b735e71,br=0 nl=0,1,
91072,用語５,词条５,translated,glossary-marker,22572ad4b3,br=0 nl=0,1,
91073,用語６,词条６,translated,glossary-marker,8a7ccda37e,br=0 nl=0,1,
91074,用語７,词条７,translated,glossary-marker,69b8ddcd4b,br=0 nl=0,1,
91075,用語８,词条８,translated,glossary-marker,27860d7d34,br=0 nl=0,1,
91076,用語９,词条９,translated,glossary-marker,7719a59377,br=0 nl=0,1,
91077,用語１０,词条１０,translated,glossary-marker,691aa38662,br=0 nl=0,1,
91078,用語１１,词条１１,translated,glossary-marker,abfd2bec9a,br=0 nl=0,1,
91079,用語１２,词条１２,translated,glossary-marker,755d8b81f8,br=0 nl=0,1,
91080,用語１３,词条１３,translated,glossary-marker,ef11badb6a,br=0 nl=0,1,
91081,用語１４,词条１４,translated,glossary-marker,43ce8878f9,br=0 nl=0,1,
91082,用語１５,词条１５,translated,glossary-marker,2de362e0c5,br=0 nl=0,1,
91083,用語１６,词条１６,translated,glossary-marker,60e45b9f61,br=0 nl=0,1,
91084,用語１７,词条１７,translated,glossary-marker,71fb0c5bd7,br=0 nl=0,1,
91085,用語１８,词条１８,translated,glossary-marker,f5f3291e8c,br=0 nl=0,1,
91086,用語１９,词条１９,translated,glossary-marker,4e4557314b,br=0 nl=0,1,
91087,用語２０,词条２０,translated,glossary-marker,3e8952d224,br=0 nl=0,1,
91088,用語２１,词条２１,translated,glossary-marker,3f5eb4edf4,br=0 nl=0,1,
91089,用語２２,词条２２,translated,glossary-marker,2c78ab4d5f,br=0 nl=0,1,
91090,用語２３,词条２３,translated,glossary-marker,ba622ae608,br=0 nl=0,1,
91091,用語２４,词条２４,translated,glossary-marker,4bd47c8c7c,br=0 nl=0,1,
91092,用語２５,词条２５,translated,glossary-marker,f5ecde1e86,br=0 nl=0,1,
91093,用語２６,词条２６,translated,glossary-marker,90f9f05331,br=0 nl=0,1,
91094,用語２７,词条２７,translated,glossary-marker,270327b076,br=0 nl=0,1,
91095,用語２８,词条２８,translated,glossary-marker,46967d18a0,br=0 nl=0,1,
91096,用語２９,词条２９,translated,glossary-marker,62ac4419c2,br=0 nl=0,1,
91097,用語３０,词条３０,translated,glossary-marker,f95b3ad822,br=0 nl=0,1,
91098,用語３１,词条３１,translated,glossary-marker,5a5da8bd7c,br=0 nl=0,1,
91099,用語３２,词条３２,translated,glossary-marker,c3cd2ae291,br=0 nl=0,1,
91100,用語３３,词条３３,translated,glossary-marker,f9641cb699,br=0 nl=0,1,
91101,用語３４,词条３４,translated,glossary-marker,8a208fc6d8,br=0 nl=0,1,
91102,用語３５,词条３５,translated,glossary-marker,fed505d7fe,br=0 nl=0,1,
91103,用語３６,词条３６,translated,glossary-marker,96a8217ff4,br=0 nl=0,1,
91104,用語３７,词条３７,translated,glossary-marker,94a75e12df,br=0 nl=0,1,
91105,用語３８,词条３８,translated,glossary-marker,436c45c7c1,br=0 nl=0,1,
91106,用語３９,词条３９,translated,glossary-marker,23e6ccd62d,br=0 nl=0,1,
91107,用語４０,词条４０,translated,glossary-marker,987d4435d9,br=0 nl=0,1,
91108,用語４１,词条４１,translated,glossary-marker,1a4bee95b2,br=0 nl=0,1,
91109,用語４２,词条４２,translated,glossary-marker,caca66698f,br=0 nl=0,1,
91110,用語４３,词条４３,translated,glossary-marker,d97d2e4229,br=0 nl=0,1,
91111,用語４４,词条４４,translated,glossary-marker,bd7e1290e3,br=0 nl=0,1,
91112,用語４５,词条４５,translated,glossary-marker,a3f1ea6eb3,br=0 nl=0,1,
91113,重力場発生装置,重力场发生装置,translated,glossary-marker,feb67d5d28,br=0 nl=0,1,
91114,小鳥が多い,有很多小鸟,translated,glossary-marker,4fc7348538,br=0 nl=0,1,
91115,セーブ・ベゼル,存档贝捷尔,translated,glossary-marker,77baeb336f,br=0 nl=0,1,
91116,D28区域,D28区域,translated,glossary-marker,40445d3d47,br=0 nl=0,1,
91117,配導盤,配导盘,translated,glossary-marker,4eb05fc543,br=0 nl=0,1,
91118,高感度シェルノトロン,高灵敏度榭鲁诺特伦,translated,glossary-marker,3cc00fae6b,br=0 nl=0,1,
91119,メゾン・セントリア,中央公馆,translated,glossary-marker,c6a46d6487,br=0 nl=0,1,
91120,イオナサルさまフィギュア,依欧娜萨鲁大人手办,translated,glossary-marker,5a63c5e0dc,br=0 nl=0,1,
91121,バイオス屋,BIOS屋,translated,glossary-marker,e91e20302a,br=0 nl=0,1,
91122,メゾンホール,公馆大厅,translated,glossary-marker,42609cf30a,br=0 nl=0,1,
91123,レオン,雷昂,translated,glossary-marker,3583d29291,br=0 nl=0,1,
91124,「ネプトロンタワー」,“尼普特伦塔”,translated,glossary-marker,0c1e6df2f8,br=0 nl=0,1,
91125,「レオン-4213」,“雷昂-4213”,translated,glossary-marker,5a967e39a0,br=0 nl=0,1,
91126,『ネプトロンルーム』,‘尼普特伦室’,translated,glossary-marker,b5ddd296fc,br=0 nl=0,1,
91127,『ネプトロン』,‘尼普特伦’,translated,glossary-marker,c4cc59f0be,br=0 nl=0,1,
91128,ジェノメトリック・カソード,杰诺梅特利库・阴极,translated,glossary-marker,8fb2906746,br=0 nl=0,1,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91129,幹部の別宅,干部的别宅,translated,glossary-marker,6d0430afd1,br=0 nl=0,1,
91130,クレイドル,支架,translated,glossary-marker,676c93705e,br=0 nl=0,1,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91131,ペアリングコード,配对码,translated,glossary-marker,7b4c745c02,br=0 nl=0,1,
91132,『詩姫』,‘诗姬’,translated,glossary-marker,3f174a2058,br=0 nl=0,1,
91133,ダイバー,潜行者,translated,glossary-marker,ce86d6f5d3,br=0 nl=0,1,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91134,ダイブ用のスーツ,潜入用防护服,translated,glossary-marker,9b8485a25a,br=0 nl=0,1,
91135,スペクトラムの形状,光谱的形状,translated,glossary-marker,735e2a7541,br=0 nl=0,1,
91136,「救星イオン応援団」,“救星依恩应援团”,translated,glossary-marker,ea375e706e,br=0 nl=0,1,
91137,PLASMA機密情報局,PLASMA机密情报局,translated,glossary-marker,cfe38b0cb3,br=0 nl=0,1,官方译名(光荣特库摩台湾)
91138,シェルノトロンの大規模規制,榭鲁诺特伦的大规模规制,translated,glossary-marker,792f489649,br=0 nl=0,1,
91139,情報集約都市アルメティカ,信息集约都市阿尔梅堤嘉,translated,glossary-marker,f5e55385d0,br=0 nl=0,1,
91140,REON-4213,REON-4213,translated,glossary-marker,7f74b20f49,br=0 nl=0,1,
91141,アルメティカ営業情報共有者連盟,阿尔梅堤嘉营业信息共享者联盟,translated,glossary-marker,36b8b58e74,br=0 nl=0,1,
91142,大法要,大法要,translated,glossary-marker,b46f0c42b7,br=0 nl=0,1,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91143,シェルノトロン医療,榭鲁诺特伦医疗,translated,glossary-marker,33ad36b6b6,br=0 nl=0,1,
91144,電離傘,电离伞,translated,glossary-marker,42f693f8e2,br=0 nl=0,1,
91145,ファースト･ハーモニクス,第一谐波,translated,glossary-marker,7a1b7e2112,br=0 nl=0,1,
91146,いまはカノイール･ククルル･プリシェール,如今是卡诺伊尔・酷酷鲁鲁・普立薛尔,translated,glossary-marker,ae23546469,br=0 nl=0,1,
91147,アルメティカ図書館,阿尔梅堤嘉图书馆,translated,glossary-marker,962299a4c8,br=0 nl=0,1,官方译名(光荣特库摩台湾)
91148,市民契約,市民契约,translated,glossary-marker,8f62e57e0e,br=0 nl=0,1,
91149,"ジェノム側から人間と同調して、
詩魔法を謳わせる","由杰诺姆侧与人类同调，
令其咏唱诗魔法",translated,glossary-marker,bb1e67b65a,br=0 nl=1,1,
91150,お守りのくまさん,护身小熊,translated,glossary-marker,1038b04fe3,br=0 nl=0,1,
91151,四季祭,四季祭,translated,glossary-marker,588511ff1f,br=0 nl=0,1,
91152,にゅろきー,喵洛基,translated,glossary-marker,408b88f11d,br=0 nl=0,1,官方译名(光荣特库摩台湾)
91153,クラスドライブ接続権限,级别驱动连接权限,translated,glossary-marker,ae7bc3fc9b,br=0 nl=0,1,
91154,テリトリー・エクスチェンジ,领地交换,translated,glossary-marker,6adaedffe4,br=0 nl=0,1,
91155,フォーシーズンへのチケット,前往四季的门票,translated,glossary-marker,80e825344e,br=0 nl=0,1,
91156,アストロサイト･モジュラトリ・ウィルス,星形胶质细胞调节病毒,translated,glossary-marker,8681ebadac,br=0 nl=0,1,
91157,万寿沙羅区,万寿沙罗区,translated,glossary-marker,c77f8820af,br=0 nl=0,1,
91158,量子展開扉,量子展开门,translated,glossary-marker,9edaf53d08,br=0 nl=0,1,
91159,同調可能精神レベル,可同调精神等级,translated,glossary-marker,2319531579,br=0 nl=0,1,
91160,万寿沙羅を救った大きな花,拯救万寿沙罗的大花,translated,glossary-marker,7bf722a35d,br=0 nl=0,1,
91161,ラシェーラの芽吹き,拉榭拉的新芽,translated,glossary-marker,922ba8063f,br=0 nl=0,1,
91162,Ｈ波,H波,translated,glossary-marker,62cf90b1da,br=0 nl=0,1,
91163,無尽蔵にシャールを生み出せる訳もない,夏尔也不可能无休止地制造出来,translated,glossary-marker,2023aa88a9,br=0 nl=0,1,
91164,チキチキポン,奇奇砰,translated,glossary-marker,d38f8d4ec2,br=0 nl=0,1,
91165,ミラクルワーム,奇迹蠕虫,translated,glossary-marker,cef9d1fa90,br=0 nl=0,1,
91166,地文調停官,地文调停官,translated,glossary-marker,2d63b3b260,br=0 nl=0,1,
91167,空の亀裂,天空裂缝,translated,glossary-marker,416e2f781c,br=0 nl=0,1,
91168,導師,导师,translated,glossary-marker,0373cbc671,br=0 nl=0,1,
91169,魂のレベル,灵魂等级,translated,glossary-marker,042ada3d1c,br=0 nl=0,1,
91170,統率の詩,统率之诗,translated,glossary-marker,f7c1081fbe,br=0 nl=0,1,
91171,テリトリーエクスチェンジ,领地交换,translated,glossary-marker,b564abb5e8,br=0 nl=0,1,
91172,6軸移動,6轴移动,translated,glossary-marker,b9a1f6f2a8,br=0 nl=0,1,
91173,クオリア,感质,translated,glossary-marker,3e4ec28695,br=0 nl=0,1,
91174,太陽ベゼル,太阳贝捷尔,translated,glossary-marker,481e8b26d9,br=0 nl=0,1,
91175,G2管,G2管,translated,glossary-marker,e316b1d24e,br=0 nl=0,1,
91176,雷哭大樹,雷哭大树,translated,glossary-marker,7600c7f242,br=0 nl=0,1,
91177,ダイブ,潜入,translated,glossary-marker,c72e99fe92,br=0 nl=0,1,
91178,地文大司教,地文大主教,translated,glossary-marker,ab65191ff2,br=0 nl=0,1,
91179,gRNAウィルスα,gRNA病毒α,translated,glossary-marker,10b4a83b76,br=0 nl=0,1,
91180,地位の低い最下層民,地位低下的最底层民众,translated,glossary-marker,df5fc0ca73,br=0 nl=0,1,
91181,プラネタリーメゾン,行星公馆,translated,glossary-marker,9c3de3b932,br=0 nl=0,1,
91182,次世代シェルノトロンサーバー,次世代榭鲁诺特伦服务器,translated,glossary-marker,50445a1024,br=0 nl=0,1,
91183,ジェノミライパンデミック,杰诺米莱伊大流行,translated,glossary-marker,8665ec2680,br=0 nl=0,1,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91184,クオリア中心,感质中心,translated,glossary-marker,22d9787a53,br=0 nl=0,1,官方译名(光荣特库摩台湾)
91185,７次元俯瞰理論,7次元俯瞰理论,translated,glossary-marker,6a712bf997,br=0 nl=0,1,
91186,地文調停十二支,地文调停十二支,translated,glossary-marker,b625938012,br=0 nl=0,1,官方译名(光荣特库摩台湾)
91187,第２世代シェルノトロンサーバー,第2世代榭鲁诺特伦服务器,translated,glossary-marker,d91ab955a7,br=0 nl=0,1,
91188,フラスク流体,烧瓶流体,translated,glossary-marker,29ebd916d8,br=0 nl=0,1,
91189,ジェノムは天文幹部を次々と乗っ取って暴走した,杰诺姆相继夺取天文干部的身体并暴走,translated,glossary-marker,bd74e4e84a,br=0 nl=0,1,
91190,シャール消去剤,夏尔消除剂,translated,glossary-marker,8c044de4d4,br=0 nl=0,1,
91191,旧ジェノミライ研究所,旧杰诺米莱伊研究所,translated,glossary-marker,483746c220,br=0 nl=0,1,
91192,クーデターの日,政变之日,translated,glossary-marker,1f572d183b,br=0 nl=0,1,
91193,７次元論,7次元论,translated,glossary-marker,f33c859f42,br=0 nl=0,1,
91194,地文十二支,地文十二支,translated,glossary-marker,0b8873d82b,br=0 nl=0,1,
91195,ラシェール・フューザー,拉榭拉融合器,translated,glossary-marker,f205ea28dc,br=0 nl=0,1,
91196,ジェノム恐慌,杰诺姆恐慌,translated,glossary-marker,195eefb028,br=0 nl=0,1,
91197,ヒュムネスフィア,修姆涅球,translated,glossary-marker,65f2d4bf65,br=0 nl=0,1,
91198,皇帝契絆支,皇帝契绊支,translated,glossary-marker,43aae09e57,br=0 nl=0,1,
91199,カンパニー,公司,translated,glossary-marker,58cccee1f8,br=0 nl=0,1,
91200,謳う丘,鸣之丘,translated,glossary-marker,ae91d457a0,br=0 nl=0,1,
91201,スフィリアルリング,天球环,translated,glossary-marker,f64fc2a994,br=0 nl=0,1,
91202,一心同体,一心同体,translated,glossary-marker,a5cd3372ef,br=0 nl=0,1,
91203,マイクロクエーサー,微类星体,translated,glossary-marker,ea1d70b7e5,br=0 nl=0,1,
91204,イオン,依恩,translated,proper-noun,90d4718c90,br=0 nl=0,3178,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91205,デート,约会,translated,proper-noun,71911cd8db,br=0 nl=0,886,
91206,カノン,卡诺,translated,proper-noun,5a6fa752cb,br=0 nl=0,795,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91207,イオナサル,依欧娜萨鲁,translated,proper-noun,a3b9e68b75,br=0 nl=0,754,
91208,サーリ,莎丽,translated,proper-noun,8a6ca8f186,br=0 nl=0,533,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91209,ラシェーラ,拉榭拉,translated,proper-noun,cfc0acd66c,br=0 nl=0,484,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91210,キャス,凯斯,translated,proper-noun,6f807afcb1,br=0 nl=0,478,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91211,レシピ,配方,translated,proper-noun,1575a2ee5f,br=0 nl=0,438,
91212,ドキドキ,心跳不已,translated,proper-noun,5969d06882,br=0 nl=0,340,
91213,ラブラブ,亲亲密密,translated,proper-noun,e38e98657a,br=0 nl=0,323,
91214,レナルル,蕾娜露露,translated,proper-noun,b73a299dee,br=0 nl=0,322,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91215,エネルギー,能量,translated,proper-noun,578325b56b,br=0 nl=0,307,
91216,パーツ,零件,translated,proper-noun,2ec7f8ee96,br=0 nl=0,297,
91217,セカイ,世界,translated,proper-noun,ca521d4fcf,br=0 nl=0,250,
91218,カノイール,卡诺伊尔,translated,proper-noun,634796a794,br=0 nl=0,241,
91219,クラケット,库拉肯特,translated,proper-noun,b470c4a07c,br=0 nl=0,221,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91220,ネプツール,尼普楚尔,translated,proper-noun,d29af0da13,br=0 nl=0,211,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91221,トロン,特伦,translated,proper-noun,4a8992950a,br=0 nl=0,177,
91222,ーーー,―――,translated,proper-noun,0bff1022d0,br=0 nl=0,174,
91223,プラム,布拉姆,translated,proper-noun,cda3f27071,br=0 nl=0,166,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91224,ビックリ,吃惊,translated,proper-noun,4c56163e11,br=0 nl=0,162,
91225,カフェ,咖啡馆,translated,proper-noun,8de76f0a3c,br=0 nl=0,151,
91226,ルウレイ,鲁雷,translated,proper-noun,7b893749e6,br=0 nl=0,151,
91227,カード,卡片,translated,proper-noun,ab1110fbbc,br=0 nl=0,146,
91228,コーザル,考扎尔,translated,proper-noun,add1deaef8,br=0 nl=0,133,
91229,グレイコフ,古雷柯夫,translated,proper-noun,0bc2e5489e,br=0 nl=0,131,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91230,ノエル,诺艾尔,translated,proper-noun,f2ac0a913d,br=0 nl=0,130,
91231,レベル,等级,translated,proper-noun,001bb77928,br=0 nl=0,128,
91232,ウンドゥ,温多,translated,proper-noun,d8d5ad608c,br=0 nl=0,128,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91233,トントン,咚咚,translated,proper-noun,31e8ba4980,br=0 nl=0,123,
91234,ホント,真的,translated,proper-noun,ca80f599e7,br=0 nl=0,120,
91235,テレフンケン,泰雷芬肯,translated,proper-noun,ce98c0f0ab,br=0 nl=0,118,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91236,コーラス,和声,translated,proper-noun,e6f23f00bd,br=0 nl=0,116,
91237,イメージ,意象,translated,proper-noun,0ece1be953,br=0 nl=0,111,
91238,ヴォーカル,主唱,translated,proper-noun,a9d22c4f25,br=0 nl=0,111,
91239,リーヴェルト,利维尔特,translated,proper-noun,23a3a84bfe,br=0 nl=0,110,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91240,メニュー,菜单,translated,proper-noun,8f99b5f7c5,br=0 nl=0,109,
91241,カソード,阴极,translated,proper-noun,184be6220e,br=0 nl=0,106,
91242,ユーザー,用户,translated,proper-noun,e6073ae328,br=0 nl=0,105,
91243,キャスティ,凯斯蒂,translated,proper-noun,9880d2a38c,br=0 nl=0,97,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91244,メール,邮件,translated,proper-noun,32ed60ff9f,br=0 nl=0,96,
91245,アイテム,道具,translated,proper-noun,e9b1131f21,br=0 nl=0,95,
91246,デザイン,设计,translated,proper-noun,02f17fee86,br=0 nl=0,95,
91247,ボタン,按钮,translated,proper-noun,ad905be0f2,br=0 nl=0,90,
91248,ショッピングセンター,购物中心,translated,proper-noun,e7396dae46,br=0 nl=0,87,
91249,レディ,女士,translated,proper-noun,7768fa9cae,br=0 nl=0,85,
91250,ウィルス,病毒,translated,proper-noun,8c7d360f60,br=0 nl=0,82,
91251,アンタ,你,translated,proper-noun,30aa1daabe,br=0 nl=0,82,
91252,シェルノサージュ,Ciel nosurge,translated,proper-noun,af37bdc135,br=0 nl=0,78,
91253,ポイント,点数,translated,proper-noun,81299e6a68,br=0 nl=0,75,
91254,エッチ,下流,translated,proper-noun,e148396ef4,br=0 nl=0,72,
91255,アコースティックギター,原声吉他,translated,proper-noun,a7abba5538,br=0 nl=0,71,
91256,フラクテル,弗拉克特尔,translated,proper-noun,1ff139a255,br=0 nl=0,71,
91257,ケーキ,蛋糕,translated,proper-noun,c973e21d6d,br=0 nl=0,70,
91258,ステージ,舞台,translated,proper-noun,382a75488b,br=0 nl=0,70,
91259,レコーディングスタジオ,录音室,translated,proper-noun,b25eb16dcb,br=0 nl=0,68,
91260,ディレクター,总监,translated,proper-noun,074ca740ff,br=0 nl=0,67,
91261,スキル,技能,translated,proper-noun,c1bb54dfca,br=0 nl=0,66,
91262,ポーラーズメモリー,北极星记忆,translated,proper-noun,0fb51c045f,br=0 nl=0,65,
91263,ミキシングエンジニア,混音工程师,translated,proper-noun,b660dbc680,br=0 nl=0,65,
91264,プリティベリー,靓丽浆果,translated,proper-noun,aaec690b69,br=0 nl=0,64,
91265,キャラクターアニメーション,角色动画,translated,proper-noun,6245f96f88,br=0 nl=0,61,
91266,カップル,情侣,translated,proper-noun,deff1678ad,br=0 nl=0,60,
